time, device, OryConc, CPUTemp, SensorTemp, packet id, 
19:14:31, position 1, -183809, 52.078, , 123, , 
19:15:31, position 1, -113011, 52.078, , 124, , 
19:16:31, position 1, -209838, 52.078, , 125, , 
19:17:31, position 1, -98568, 52.078, , 126, , 
19:18:31, position 1, 48911, 52.616, , 127, , 
19:19:31, position 1, 171667, 52.078, , 128, , 
19:20:31, position 1, 335060, 52.078, , 129, , 
19:21:31, position 1, 413389, 51.54, , 130, , 
19:22:31, position 1, -23347, 51.54, , 131, , 
19:23:31, position 1, -2027, 52.616, , 132, , 
19:24:31, position 1, -159993, 52.078, , 133, , 
19:25:31, position 1, 427003, 51.54, , 134, , 
19:26:31, position 1, 50443, 51.54, , 135, , 
19:27:31, position 1, -224445, 52.616, , 136, , 
19:28:31, position 1, 7122, 51.54, , 137, , 
