time, device, OryConc, CPUTemp, SensorTemp, packet id, 
19:23:02, position 1, 424997, 38.628, , 766, 
19:23:32, position 1, 472231, 37.552, , 767, 
19:24:02, position 1, 27325, 37.552, , 768, 
19:24:32, position 1, 78972, 38.628, , 769, 
19:25:02, position 1, -50993, 38.09, , 770, 
19:25:32, position 1, 161963, 38.628, , 771, 
19:26:02, position 1, 648007, 38.628, , 772, 
19:26:32, position 1, -57898, 38.09, , 773, 
19:27:02, position 1, -36457, 38.628, , 774, 
19:27:32, position 1, -227863, 38.628, , 775, 
19:28:02, position 1, -87084, 38.09, , 776, 
19:28:32, position 1, 146461, 38.628, , 777, 
19:29:02, position 1, 322350, 38.628, , 778, 
19:29:32, position 1, 437436, 39.166, , 779, 
19:30:02, position 1, 513517, 38.628, , 780, 
19:30:32, position 1, 6183, 38.628, , 781, 
19:31:02, position 1, 28865, 38.628, , 782, 
19:50:02, position 1, -50993, 39.704, , 820, 
19:50:32, position 1, 161963, 39.704, , 821, 
19:51:02, position 1, 648007, 39.704, , 822, 
19:51:32, position 1, -57898, 39.166, , 823, 
19:52:02, position 1, -36457, 39.704, , 824, 
19:52:32, position 1, -227863, 39.704, , 825, 
19:53:02, position 1, -87084, 39.704, , 826, 
19:53:32, position 1, 146461, 39.704, , 827, 
19:54:02, position 1, 322350, 39.704, , 828, 
19:54:32, position 1, 437436, 39.166, , 829, 
19:55:02, position 1, 513517, 39.704, , 830, 
19:55:32, position 1, 6183, 39.704, , 831, 
19:56:02, position 1, 28865, 39.704, , 832, 
19:56:32, position 1, -161265, 39.704, , 833, 
19:57:02, position 1, 364179, 39.166, , 834, 
19:57:32, position 1, 132197, 39.704, , 835, 
19:58:02, position 1, -94244, 39.166, , 836, 
19:58:32, position 1, -14864, 39.704, , 837, 
19:59:02, position 1, -163739, 39.166, , 838, 
19:59:32, position 1, 5716, 39.704, , 839, 
20:00:02, position 1, 215146, 39.704, , 840, 
20:00:32, position 1, 424997, 39.704, , 841, 
20:01:02, position 1, 472231, 39.704, , 842, 
20:01:32, position 1, 27325, 39.166, , 843, 
20:02:02, position 1, 78972, 39.704, , 844, 
20:02:32, position 1, -50993, 39.166, , 845, 
20:03:02, position 1, 161963, 39.704, , 846, 
20:03:32, position 1, 648007, 39.704, , 847, 
20:04:02, position 1, -57898, 39.704, , 848, 
20:04:32, position 1, -36457, 39.704, , 849, 
20:05:02, position 1, -227863, 39.704, , 850, 
20:05:32, position 1, -87084, 39.166, , 851, 
20:06:02, position 1, 146461, 39.704, , 852, 
20:06:32, position 1, 322350, 39.704, , 853, 
20:07:02, position 1, 437436, 39.704, , 854, 
20:07:32, position 1, 513517, 39.704, , 855, 
20:08:02, position 1, 6183, 39.704, , 856, 
20:08:32, position 1, 28865, 39.704, , 857, 
