time,position,OryConc,AV,CPUTemp,SensorTemp,packet_id
02:29:27,position 2,-17079.0,nan,37.0,33.8,109
02:30:24,position 2,-17077.0,nan,37.5,33.8,110
02:31:24,position 2,-17082.0,nan,37.5,33.8,111
02:32:24,position 2,-17089.0,nan,37.5,33.9,112
02:33:24,position 2,-17080.0,nan,37.5,33.9,113
02:34:24,position 2,-17111.0,nan,37.5,33.9,114
02:35:27,position 2,-17094.0,nan,37.5,33.9,115
02:36:24,position 2,-17123.0,nan,37.5,0.0,116
02:37:24,position 2,-17075.0,nan,37.5,34.0,117
02:39:24,position 2,-17147.0,nan,37.5,34.1,118
02:40:24,position 2,-17169.0,nan,38.1,34.1,119
02:41:27,position 2,-17088.0,nan,37.5,34.2,120
02:42:27,position 2,-17143.0,nan,37.5,34.3,121
02:44:27,position 2,-17123.0,nan,38.1,0.0,122
02:45:24,position 2,-17105.0,nan,38.1,34.3,123
02:46:24,position 2,-17119.0,nan,37.5,34.3,124
02:47:24,position 2,-17104.0,nan,37.5,34.3,125
02:48:27,position 2,-17101.0,nan,37.5,34.3,126
02:49:24,position 2,-17104.0,nan,38.1,0.0,127
02:50:24,position 2,-17136.0,nan,37.5,34.3,128
02:51:24,position 2,-17177.0,nan,37.5,34.2,129
02:52:24,position 2,-17080.0,nan,37.5,34.2,130
02:53:24,position 2,-17093.0,nan,37.5,34.1,131
02:54:24,position 2,-17055.0,nan,37.5,34.1,132
02:55:24,position 2,-17079.0,nan,37.5,34.1,133
02:56:24,position 2,-17108.0,nan,37.5,34.1,134
02:57:24,position 2,-17139.0,nan,37.5,34.1,135
02:58:27,position 2,-17058.0,nan,37.5,0.0,136
02:59:27,position 2,-17056.0,nan,37.5,0.0,137
03:00:24,position 2,-17081.0,nan,37.0,34.0,138
03:02:24,position 2,-17097.0,nan,38.1,34.1,139
03:03:24,position 2,-17238.0,nan,37.5,34.1,140
03:04:24,position 2,-17174.0,nan,37.5,34.0,141
03:05:24,position 2,-17123.0,nan,37.5,34.0,142
03:06:24,position 2,-17107.0,nan,37.5,34.0,143
03:07:24,position 2,-17156.0,nan,37.0,34.0,144
03:08:24,position 2,-17089.0,nan,37.5,0.0,145
03:11:24,position 2,-17136.0,nan,37.5,34.0,146
03:12:24,position 2,-17151.0,nan,37.5,33.9,147
03:15:24,position 2,-16956.0,nan,37.5,33.8,148
03:17:24,position 2,-17116.0,nan,36.5,33.7,149
03:18:24,position 2,-17048.0,nan,36.5,33.7,150
03:19:24,position 2,-17013.0,nan,37.0,0.0,151
03:20:24,position 2,-17023.0,nan,36.5,33.6,152
03:21:24,position 2,-17022.0,nan,36.5,0.0,153
03:22:24,position 2,-17022.0,nan,36.5,33.5,154
03:24:24,position 2,-17060.0,nan,37.0,0.0,155
03:25:24,position 2,-17057.0,nan,37.0,33.4,156
03:26:24,position 2,-17038.0,nan,36.5,33.3,157
03:27:24,position 2,-17074.0,nan,36.5,33.3,158
03:28:24,position 2,-17096.0,nan,36.5,33.3,159
03:29:24,position 2,-17009.0,nan,36.5,33.3,160
03:30:24,position 2,-16961.0,nan,36.5,33.4,161
03:31:27,position 2,-17024.0,nan,36.5,33.4,162
03:32:24,position 2,-17031.0,nan,37.5,33.4,163
03:33:27,position 2,-17045.0,nan,37.0,0.0,164
03:34:24,position 2,-16975.0,nan,37.0,33.5,165
03:35:24,position 2,-16998.0,nan,37.0,33.5,166
03:36:24,position 2,-17039.0,nan,37.0,33.5,167
03:37:27,position 2,-16988.0,nan,37.0,0.0,168
03:39:24,position 2,-16999.0,nan,37.0,33.5,169
03:40:27,position 2,-17045.0,nan,36.5,33.5,170
03:41:24,position 2,-17097.0,nan,37.0,33.4,171
03:42:24,position 2,-17112.0,nan,36.5,33.4,172
03:43:24,position 2,-17012.0,nan,37.0,33.4,173
03:45:27,position 2,-17067.0,nan,37.0,33.5,174
03:46:24,position 2,-17076.0,nan,37.0,33.5,175
03:47:27,position 2,-17048.0,nan,37.0,33.6,176
03:48:24,position 2,-17066.0,nan,37.5,33.6,177
03:50:27,position 2,-17058.0,nan,37.5,33.7,178
03:51:24,position 2,-17021.0,nan,37.0,0.0,179
03:52:27,position 2,-17017.0,nan,36.5,33.7,180
03:53:24,position 2,-17024.0,nan,37.0,33.7,181
03:54:24,position 2,-17056.0,nan,37.0,0.0,182
03:55:24,position 2,-17065.0,nan,36.5,33.6,183
03:57:27,position 2,-17054.0,nan,37.5,33.7,184
03:58:27,position 2,-17044.0,nan,37.5,33.8,185
04:00:24,position 2,-17095.0,nan,37.0,33.8,186
04:01:24,position 2,-17083.0,nan,37.0,33.8,187
04:02:27,position 2,-17107.0,nan,37.0,0.0,188
04:03:24,position 2,-17079.0,nan,37.5,33.8,189
04:04:27,position 2,-17072.0,nan,37.5,33.9,190
04:05:24,position 2,-17115.0,nan,37.5,33.9,191
04:06:27,position 2,-17156.0,nan,37.5,0.0,192
04:07:24,position 2,-17103.0,nan,37.5,33.9,193
04:08:24,position 2,-17174.0,nan,37.0,33.9,194
04:09:24,position 2,-17176.0,nan,37.5,33.9,195
04:10:27,position 2,-17150.0,nan,37.5,0.0,196
04:11:24,position 2,-17161.0,nan,38.1,34.0,197
04:12:27,position 2,-17104.0,nan,37.5,34.0,198
04:13:24,position 2,-17058.0,nan,37.5,34.0,199
04:14:24,position 2,-17128.0,nan,37.5,34.0,200
04:15:24,position 2,-17076.0,nan,38.1,34.0,201
04:16:27,position 2,-17090.0,nan,37.0,34.0,202
04:17:24,position 2,-17148.0,nan,37.0,0.0,203
04:18:24,position 2,-17157.0,nan,37.0,33.9,204
04:19:24,position 2,-17142.0,nan,37.5,0.0,205
04:20:24,position 2,-17063.0,nan,37.0,34.0,206
04:21:27,position 2,-17105.0,nan,37.5,34.0,207
04:22:24,position 2,-17136.0,nan,37.5,34.1,208
04:23:24,position 2,-17144.0,nan,38.1,0.0,209
04:25:27,position 2,-17156.0,nan,37.5,34.2,210
04:26:24,position 2,-17088.0,nan,37.5,34.2,211
04:27:24,position 2,-17142.0,nan,37.5,34.2,212
04:28:24,position 2,-17196.0,nan,38.1,34.3,213
04:29:24,position 2,-17134.0,nan,37.5,34.3,214
04:30:24,position 2,-17100.0,nan,38.1,0.0,215
04:31:24,position 2,-17129.0,nan,37.5,34.3,216
04:32:24,position 2,-17170.0,nan,38.1,0.0,217
04:33:24,position 2,-17131.0,nan,38.1,34.3,218
04:35:24,position 2,-17147.0,nan,37.5,34.2,219
04:36:24,position 2,-17176.0,nan,37.0,34.1,220
04:37:24,position 2,-17168.0,nan,37.5,0.0,221
04:39:24,position 2,-17165.0,nan,37.5,33.9,222
04:40:24,position 2,-17226.0,nan,37.5,33.9,223
04:41:24,position 2,-17248.0,nan,37.0,33.8,224
04:42:27,position 2,-17232.0,nan,36.5,33.7,225
04:43:27,position 2,-17202.0,nan,36.5,0.0,226
04:44:24,position 2,-17188.0,nan,37.0,33.6,227
04:45:24,position 2,-17218.0,nan,37.0,33.6,228
04:46:24,position 2,-17178.0,nan,37.0,33.6,229
04:47:24,position 2,-17141.0,nan,37.0,33.5,230
04:48:24,position 2,-17208.0,nan,37.0,0.0,231
04:49:24,position 2,-17215.0,nan,37.5,33.5,232
04:50:24,position 2,-17234.0,nan,37.0,33.5,233
04:51:27,position 2,-17185.0,nan,36.5,33.5,234
04:52:27,position 2,-17162.0,nan,37.0,33.5,235
04:53:27,position 2,-17182.0,nan,36.5,33.5,236
04:54:24,position 2,-17132.0,nan,37.0,33.5,237
04:55:24,position 2,-17176.0,nan,37.5,0.0,238
04:56:24,position 2,-17207.0,nan,37.0,0.0,239
04:58:24,position 2,-17174.0,nan,37.0,33.5,240
04:59:24,position 2,-17097.0,nan,36.5,33.4,241
05:00:24,position 2,-17141.0,nan,36.5,0.0,242
05:01:24,position 2,-17142.0,nan,36.5,33.4,243
05:02:27,position 2,-17046.0,nan,36.5,0.0,244
05:04:27,position 2,-17117.0,nan,36.5,33.2,245
05:05:27,position 2,-17039.0,nan,36.5,33.2,246
05:07:24,position 2,-17141.0,nan,36.5,33.2,247
05:08:24,position 2,-17080.0,nan,36.5,33.2,248
05:10:24,position 2,-17185.0,nan,36.5,33.1,249
05:11:24,position 2,-17126.0,nan,36.5,33.0,250
05:12:27,position 2,-17105.0,nan,36.5,0.0,251
05:13:24,position 2,-17101.0,nan,36.5,33.0,252
05:14:27,position 2,-17132.0,nan,36.5,0.0,253
05:15:27,position 2,-17159.0,nan,36.5,0.0,254
05:17:27,position 2,-17168.0,nan,36.5,32.9,255
05:18:24,position 2,-17198.0,nan,35.9,32.8,256
05:19:24,position 2,-17194.0,nan,36.5,32.8,257
05:20:24,position 2,-17223.0,nan,36.5,0.0,258
05:21:27,position 2,-17151.0,nan,35.9,32.7,259
05:22:24,position 2,-17154.0,nan,36.5,32.7,260
05:23:27,position 2,-17151.0,nan,36.5,32.7,261
05:24:24,position 2,-17140.0,nan,36.5,32.8,262
05:25:27,position 2,-17190.0,nan,36.5,32.8,263
05:26:27,position 2,-17232.0,nan,36.5,32.8,264
05:28:24,position 2,-17143.0,nan,37.0,32.8,265
05:29:24,position 2,-17167.0,nan,37.0,0.0,266
05:30:24,position 2,-17214.0,nan,36.5,32.8,267
05:31:24,position 2,-17257.0,nan,36.5,32.8,268
05:33:27,position 2,-17112.0,nan,36.5,32.8,269
05:35:24,position 2,-17165.0,nan,37.0,0.0,270
05:36:24,position 2,-17166.0,nan,37.0,33.0,271
05:37:24,position 2,-17152.0,nan,37.0,33.1,272
05:38:24,position 2,-17093.0,nan,36.5,33.1,273
05:39:24,position 2,-17205.0,nan,36.5,33.1,274
05:41:24,position 2,-17173.0,nan,36.5,33.1,275
05:42:24,position 2,-17223.0,nan,37.0,33.1,276
05:43:24,position 2,-17224.0,nan,36.5,0.0,277
05:44:24,position 2,-17193.0,nan,36.5,33.0,278
05:46:24,position 2,-17186.0,nan,35.9,0.0,279
05:50:24,position 2,-17237.0,nan,36.5,32.8,280
05:51:27,position 2,-17224.0,nan,36.5,0.0,281
05:52:24,position 2,-17260.0,nan,35.9,32.8,282
05:53:24,position 2,-17241.0,nan,36.5,32.7,283
05:54:27,position 2,-17215.0,nan,36.5,32.7,284
05:57:24,position 2,-17267.0,nan,36.5,32.6,285
05:58:27,position 2,-17264.0,nan,36.5,32.6,286
05:59:24,position 2,-17305.0,nan,36.5,32.7,287
06:01:24,position 2,-17283.0,nan,36.5,32.7,288
06:02:24,position 2,-17270.0,nan,36.5,32.7,289
